Status,Country,ReactorCode,Reactor Name,Type,Grid Connection,Online,Commercial operation,Shutdown,Offline,Latitude,Longitude,Link1,Link2,Link3,Power from Nuclear
Shut Down,United States,US-289,THREE MILE ISLAND-1, PWR,6/1/1974,"June, 1974",9/1/1974,9/1/2019,"September, 2019",40.153293,-76.72534,https://en.wikipedia.org/wiki/Three_Mile_Island_accident,https://en.wikipedia.org/wiki/Three_Mile_Island_Nuclear_Generating_Station,https://www.nrc.gov/reading-rm/doc-collections/fact-sheets/3mile-isle.html,0.19
Shut Down,United States,US-320,THREE MILE ISLAND-2, PWR,4/1/1978,"April, 1978",12/1/1978,3/1/1979,"March, 1979",40.153293,-76.72534,https://en.wikipedia.org/wiki/Three_Mile_Island_accident,https://en.wikipedia.org/wiki/Three_Mile_Island_Nuclear_Generating_Station,https://www.nrc.gov/reading-rm/doc-collections/fact-sheets/3mile-isle.html,0.19
Shut Down,Belgium,BE-1,BR-3, PWR,10/1/1962,"October, 1962",10/1/1962,6/1/1987,"June, 1987",51.218524,5.093236,https://en.wikipedia.org/wiki/Nuclear_energy_in_Belgium,https://science.sckcen.be/en/Facilities/BR3,https://www.world-nuclear.org/information-library/country-profiles/countries-a-f/belgium.aspx,0.49
Operational,United States,US-341,FERMI-2,BWR,9/1/1986,"September, 1986",1/1/1988,,None (Currently operational),41.96278,-83.2575,https://en.wikipedia.org/wiki/Enrico_Fermi_Nuclear_Generating_Station,https://www.nrc.gov/info-finder/decommissioning/power-reactor/enrico-fermi-atomic-power-plant-unit-1.html,,0.19
Shut Down,United States,US-16,FERMI-1, FBR,8/1/1966,"August, 1966",8/1/1966,11/1/1972,"November, 1972",41.96278,-83.2575,https://en.wikipedia.org/wiki/Enrico_Fermi_Nuclear_Generating_Station,https://www.nrc.gov/info-finder/decommissioning/power-reactor/enrico-fermi-atomic-power-plant-unit-1.html,,0.19
Operational,United States,US-247,INDIAN POINT-2,PWR,6/1/1973,"June, 1973",8/1/1974,,None (Currently operational),41.26972,-73.95222,https://en.wikipedia.org/wiki/Indian_Point_Energy_Center,https://www.nrc.gov/info-finder/decommissioning/power-reactor/indian-point-unit-1.html,,0.19
Operational,United States,US-286,INDIAN POINT-3,PWR,4/1/1976,"April, 1976",8/1/1976,,None (Currently operational),41.26972,-73.95222,https://en.wikipedia.org/wiki/Indian_Point_Energy_Center,https://www.nrc.gov/info-finder/decommissioning/power-reactor/indian-point-unit-1.html,,0.19
Shut Down,United States,US-013,INDIAN POINT-1, PWR,9/1/1962,"September, 1962",10/1/1962,10/1/1974,"October, 1974",41.26972,-73.95222,https://en.wikipedia.org/wiki/Indian_Point_Energy_Center,https://www.nrc.gov/info-finder/decommissioning/power-reactor/indian-point-unit-1.html,,0.19
Operational,United States,US-336,MILLSTONE-2,PWR,11/1/1975,"November, 1975",12/1/1975,,None (Currently operational),41.3119,-72.1686,https://en.wikipedia.org/wiki/Millstone_Nuclear_Power_Plant,https://www.nrc.gov/info-finder/decommissioning/power-reactor/millstone-unit-1.html,,0.19
Operational,United States,US-423,MILLSTONE-3,PWR,2/1/1986,"February, 1986",4/1/1986,,None (Currently operational),41.3119,-72.1686,https://en.wikipedia.org/wiki/Millstone_Nuclear_Power_Plant,https://www.nrc.gov/info-finder/decommissioning/power-reactor/millstone-unit-1.html,,0.19
