Status,Country,ReactorCode,Reactor Name,Type,Grid Connection,Commercial operation,Shutdown,LinkA,LinkB
Shut Down,USA,US-219,OYSTER CREEK, BWR,9/1/1969,12/1/1969,9/1/2018,https://en.wikipedia.org/wiki/Oyster_Creek_Nuclear_Generating_Station,https://en.wikipedia.org/wiki/Oyster_Creek_Nuclear_Generating_Station
Shut Down,USA,US-130,PATHFINDER, BWR,7/1/1966,8/1/1966,10/1/1967,https://en.wikipedia.org/wiki/Pathfinder_Nuclear_Generating_Station,https://en.wikipedia.org/wiki/Pathfinder_Nuclear_Generating_Station
Shut Down,USA,US-171,PEACH BOTTOM-1, HTGR,1/1/1967,6/1/1967,11/1/1974,https://en.wikipedia.org/wiki/Peach_Bottom_Nuclear_Generating_Station,https://en.wikipedia.org/wiki/Peach_Bottom_Nuclear_Generating_Station
Shut Down,USA,US-293,PILGRIM-1, BWR,7/1/1972,12/1/1972,5/1/2019,https://en.wikipedia.org/wiki/Pilgrim_Nuclear_Power_Station,https://en.wikipedia.org/wiki/Pilgrim_Nuclear_Power_Station
Shut Down,USA,US-012,PIQUA, X,7/1/1963,11/1/1963,1/1/1966,https://en.wikipedia.org/wiki/Piqua_Nuclear_Generating_Station,https://en.wikipedia.org/wiki/Piqua_Nuclear_Generating_Station
Shut Down,USA,US-312,RANCHO SECO-1, PWR,10/1/1974,4/1/1975,6/1/1989,https://en.wikipedia.org/wiki/Rancho_Seco_Nuclear_Generating_Station,https://en.wikipedia.org/wiki/Rancho_Seco_Nuclear_Generating_Station
Shut Down,USA,US-206,SAN ONOFRE-1, PWR,7/1/1967,1/1/1968,11/1/1992,https://en.wikipedia.org/wiki/San_Onofre_Nuclear_Generating_Station,https://en.wikipedia.org/wiki/San_Onofre_Nuclear_Generating_Station
Shut Down,USA,US-146,SAXTON, PWR,3/1/1967,3/1/1967,5/1/1972,https://en.wikipedia.org/wiki/Saxton_Nuclear_Generating_Station,nan
Shut Down,USA,US-001,SHIPPINGPORT, PWR,12/1/1957,5/1/1958,10/1/1982,https://en.wikipedia.org/wiki/Shippingport_Atomic_Power_Station,https://en.wikipedia.org/wiki/Shippingport_Atomic_Power_Station
Shut Down,USA,US-322,SHOREHAM, BWR,8/1/1986,8/1/1986,5/1/1989,https://en.wikipedia.org/wiki/Shoreham_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Shoreham_Nuclear_Power_Plant
Shut Down,USA,US-289,THREE MILE ISLAND-1, PWR,6/1/1974,9/1/1974,9/1/2019,https://en.wikipedia.org/wiki/Three_Mile_Island_accident,https://en.wikipedia.org/wiki/Three_Mile_Island_Nuclear_Generating_Station
Shut Down,USA,US-344,TROJAN, PWR,12/1/1975,5/1/1976,11/1/1992,https://en.wikipedia.org/wiki/Trojan_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Trojan_Nuclear_Power_Plant
