Status,Country,ReactorCode,Reactor Name,Type,Grid Connection,Commercial operation,Shutdown,Latitude,Longitude,Link1,Link2,Link3
Operational,UK,GB-22A,HEYSHAM B-1,GCR,7/1/1988,4/1/1989,,54.02889,-2.91611,https://en.wikipedia.org/wiki/Heysham_nuclear_power_station,,
Operational,UK,GB-22B,HEYSHAM B-2,GCR,11/1/1988,4/1/1989,,54.02889,-2.91611,https://en.wikipedia.org/wiki/Heysham_nuclear_power_station,,
Operational,RUSSIA,RU-23,SMOLENSK-1,LWGR,12/1/1982,9/1/1983,,54.1691611,33.2466361,https://en.wikipedia.org/wiki/Smolensk_Nuclear_Power_Plant,,
Operational,RUSSIA,RU-24,SMOLENSK-2,LWGR,5/1/1985,7/1/1985,,54.1691611,33.2466361,https://en.wikipedia.org/wiki/Smolensk_Nuclear_Power_Plant,,
Operational,RUSSIA,RU-67,SMOLENSK-3,LWGR,1/1/1990,10/1/1990,,54.1691611,33.2466361,https://en.wikipedia.org/wiki/Smolensk_Nuclear_Power_Plant,,
Operational,UK,GB-19A,HARTLEPOOL A-1,GCR,8/1/1983,4/1/1989,,54.635,-1.18083,https://en.wikipedia.org/wiki/Hartlepool_nuclear_power_station,https://www.world-nuclear.org/reactor/default.aspx/HARTLEPOOL%2520A-1,
Operational,UK,GB-19B,HARTLEPOOL A-2,GCR,10/1/1984,4/1/1989,,54.635,-1.18083,https://en.wikipedia.org/wiki/Hartlepool_nuclear_power_station,https://www.world-nuclear.org/reactor/default.aspx/HARTLEPOOL%2520A-1,
Operational,UK,GB-17A,HUNTERSTON B-1,GCR,2/1/1976,2/1/1976,,55.72209,-4.89009,https://en.wikipedia.org/wiki/Hunterston_B_nuclear_power_station,https://www.world-nuclear.org/reactor/default.aspx/HUNTERSTON%2520B-1,
Operational,UK,GB-17B,HUNTERSTON B-2,GCR,3/1/1977,3/1/1977,,55.72209,-4.89009,https://en.wikipedia.org/wiki/Hunterston_B_nuclear_power_station,https://www.world-nuclear.org/reactor/default.aspx/HUNTERSTON%2520B-1,
Operational,UK,GB-23A,TORNESS-1,GCR,5/1/1988,5/1/1988,,55.96799,-2.40908,https://en.wikipedia.org/wiki/Torness_nuclear_power_station,https://www.world-nuclear.org/reactor/default.aspx/TORNESS-1,
