index,Country,Reactor Code,Reactor Name,Shut down ,Shutdown reason,Decom. strategy,Current decom.  phase,Current fuel management,Decom. licensee,Licence expiration,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Latitude,Longitude
Decommissioning, GERMANY, DE -19,THTR-300, 1988-9,"6,Others", Other,,, HKG,,,,,,,,51.67917,7.97167
Decommissioning,UK, GB -3A,BERKELEY-1, 1989-3,"2,8", Dd+SE,8,, Magnox S,2083,,,,,,,51.6925,-2.493611
Decommissioning,UK, GB -3B,BERKELEY-2, 1988-10,"2,8", Dd+SE,8,, Magnox S,2083,,,,,,,51.6925,-2.493611
Decommissioning,UK, GB -4A,BRADWELL-1, 2002-3,"2,8", Dd+SE,8,, Magnox S,2104,,,,,,,51.74139,0.89694
Decommissioning,UK, GB -4B,BRADWELL-2, 2002-3,"2,8", Dd+SE,8,, Magnox S,2104,,,,,,,51.74139,0.89694
Decommissioning, NETHERLANDS, NL -1,DODEWAARD, 1997-3,"2,Others", Dd+SE,7,, BV GKN,2055,,,,,,,51.89944,5.68611
Decommissioning, UK, GB -10A,SIZEWELL A-1, 2006-12,"2,8", Dd+SE,8,, Magnox S,2110,,,,,,,52.215,1.61972
Decommissioning,UK, GB -10B,SIZEWELL A-2, 2006-12,"2,8", Dd+SE,8,, Magnox S,2110,,,,,,,52.215,1.61972
Decommissioning,GERMANY, DE -6,LINGEN, 1977-1,"2,5,6", ID,"1,3,4,9",, RWE AG,,,,,,,,52.48278,7.30694
Decommissioning,UK, GB -8A,TRAWSFYNYDD-1, 1991-2,"2,8", Dd+PD+SE,8,, Magnox N,2098,,,,,,,52.9248639,-3.9484389
Decommissioning,UK, GB -8B,TRAWSFYNYDD-2, 1991-2,"2,8", Dd+PD+SE,8,, Magnox N,2098,,,,,,,52.9248639,-3.9484389
Decommissioning,GERMANY, DE -501,RHEINSBERG, 1990-6,"1,3,6,7", ID,9,"4,7", G 01 KKR,,,,,,,,53.1469917,12.99015
Decommissioning,GERMANY, DE -17,UNTERWESER, 2011-8,7, ID,2,"2,3", E.ON,2035,,,,,,,53.4277,8.4801972
Decommissioning,GERMANY, DE -10,STADE, 2003-11,2, ID,"3,4,6",, PElectra,2023,,,,,,,53.62,9.53083
Decommissioning,GERMANY, DE -502,GREIFSWALD-1, 1990-2,"1,3,6,7", ID,"3,9",7, G 01 KGR,,,,,,,,54.1405861,13.6644222
Decommissioning,GERMANY, DE -503,GREIFSWALD-2, 1990-2,"1,3,6,7", ID,"3,9","3,7", G 01 KGR,,,,,,,,54.1405861,13.6644222
Decommissioning,GERMANY, DE -504,GREIFSWALD-3, 1990-2,"1,3,6,7", ID,"3,9",7, G 01 KGR,,,,,,,,54.1405861,13.6644222
Decommissioning,GERMANY, DE -505,GREIFSWALD-4, 1990-7,"1,3,6,7", ID,3,"3,7", G 01 KGR,,,,,,,,54.1405861,13.6644222
Decommissioning,GERMANY, DE -506,GREIFSWALD-5, 1989-11,"1,2,3,6,7", ID,"1,3,9","3,7", G 01 KGR,,,,,,,,54.1405861,13.6644222
Decommissioning,UK, GB -1A,CALDER HALL-1, 2003-3,"2,8", Dd+PD+SE,8,, SL,2117,,,,,,,54.4205,-3.4975
Decommissioning,UK, GB -1B,CALDER HALL-2, 2003-3,"2,8", Dd+PD+SE,8,, SL,2117,,,,,,,54.4205,-3.4975
Decommissioning,UK, GB -1C,CALDER HALL-3, 2003-3,"2,8", Dd+PD+SE,8,, SL,2117,,,,,,,54.4205,-3.4975
Decommissioning,UK, GB -1D,CALDER HALL-4, 2003-3,"2,8", Dd+PD+SE,8,, SL,2117,,,,,,,54.4205,-3.4975
Decommissioning,UK, GB -2A,CHAPELCROSS-1, 2004-6,"2,8", Dd+PD+SE,8,, Magnox N,2128,,,,,,,55.0157,-3.2261
Decommissioning,UK, GB -2B,CHAPELCROSS-2, 2004-6,"2,8", Dd+PD+SE,8,, Magnox N,2128,,,,,,,55.0157,-3.2261
Decommissioning,UK, GB -2C,CHAPELCROSS-3, 2004-6,"2,8", Dd+PD+SE,8,, Magnox N,2128,,,,,,,55.0157,-3.2261
