Status,Country,ReactorCode,Reactor Name,Type,Grid Connection,Commercial operation,Shutdown,,,,ARMENIA,BELGIUM,BULGARIA,CANADA,FRANCE,GERMANY,ITALY,JAPAN,KAZAKHSTAN,"KOREA,REP.OF",LITHUANIA,NETHERLANDS,RUSSIA,SLOVAKIA,SPAIN,SWEDEN,SWITZERLAND,UK,UKRAINE,USA,CZECHREP.,SLOVENIA,ROMANIA,INDIA,CHINA,SOUTHAFRICA,HUNGARY,FINLAND,BRAZIL,"IRAN,ISL.REP.",ARGENTINA,PAKISTAN,MEXICO
Shut Down,GERMANY,DE-7,HDR GROSSWELZHEIM, BWR,10/1/1969,8/1/1970,4/1/1971,,1/1/1990,12/31/1990,1,7,5,20,58,26,2,41,1,9,2,2,30,4,10,12,5,39,15,111,4,1,0,7,0,2,4,4,1,0,2,1,1
Shut Down,GERMANY,DE-16,ISAR-1, BWR,12/1/1977,3/1/1979,8/1/2011,,1/1/1991,12/31/1991,1,7,6,20,57,21,0,42,1,9,2,2,29,4,9,12,5,37,15,111,4,1,0,7,1,2,4,4,1,0,2,1,1
Shut Down,GERMANY,DE-8,KNK II, FBR,4/1/1978,3/1/1979,8/1/1991,,1/1/1992,12/31/1992,1,7,6,21,57,20,0,44,1,9,2,2,29,4,9,12,5,35,14,110,4,1,0,9,1,2,4,4,1,0,2,1,1
Shut Down,GERMANY,DE-20,KRUEMMEL, BWR,9/1/1983,3/1/1984,8/1/2011,,1/1/1993,12/31/1993,1,7,6,22,57,20,0,48,1,9,2,2,30,4,9,12,5,35,14,109,4,1,0,9,2,2,4,4,1,0,2,1,1
Shut Down,GERMANY,DE-6,LINGEN, BWR,7/1/1968,10/1/1968,1/1/1977,,1/1/1994,12/31/1994,1,7,6,22,57,20,0,50,1,10,2,2,30,4,9,12,5,35,14,109,4,1,0,9,3,2,4,4,1,0,2,1,2
Shut Down,GERMANY,DE-22,MUELHEIM-KAERLICH, PWR,3/1/1986,8/1/1987,9/1/1988,,1/1/1995,12/31/1995,1,7,6,22,56,19,0,51,1,11,2,2,30,4,9,12,5,35,15,109,4,1,0,10,3,2,4,4,1,0,2,1,2
Shut Down,GERMANY,DE-2,MZFR, PHWR,3/1/1966,12/1/1966,5/1/1984,,1/1/1996,12/31/1996,1,7,6,22,57,19,0,54,1,11,2,2,30,4,9,12,5,35,15,110,4,1,1,10,3,2,4,4,1,0,2,1,2
Shut Down,GERMANY,DE-15,NECKARWESTHEIM-1, PWR,6/1/1976,12/1/1976,8/1/2011,,1/1/1997,12/31/1997,1,7,6,22,59,19,0,54,1,12,2,2,30,4,9,12,5,35,14,109,4,1,1,10,3,2,4,4,1,0,2,1,2
Shut Down,GERMANY,DE-11,NIEDERAICHBACH, HWGCR,1/1/1973,1/1/1973,7/1/1974,,1/1/1998,12/31/1998,1,7,6,22,59,19,0,54,1,15,2,1,30,5,9,12,5,35,14,107,4,1,1,10,3,2,4,4,1,0,2,1,2
Shut Down,GERMANY,DE-5,OBRIGHEIM, PWR,10/1/1968,3/1/1969,5/1/2005,,1/1/1999,12/31/1999,1,7,6,22,59,19,0,53,1,16,2,1,30,6,9,12,5,35,14,104,4,1,1,11,3,2,4,4,1,0,2,1,2
Shut Down,GERMANY,DE-14,PHILIPPSBURG-1, BWR,5/1/1979,3/1/1980,8/1/2011,,1/1/2000,12/31/2000,1,7,6,22,59,19,0,53,0,16,2,1,30,6,9,11,5,35,14,104,5,1,1,14,3,2,4,4,2,0,2,2,2
Shut Down,GERMANY,DE-24,PHILIPPSBURG-2, PWR,12/1/1984,4/1/1985,12/1/2019,,1/1/2001,12/31/2001,1,7,6,22,59,19,0,54,0,17,2,1,31,6,9,11,5,33,13,104,5,1,1,14,3,2,4,4,2,0,2,2,2
