Years,Continent,Countries,Reactor Count
1/1/2014,Europe,ITALY,0
1/1/2015,Europe,ITALY,0
1/1/2016,Europe,ITALY,0
1/1/2017,Europe,ITALY,0
1/1/2018,Europe,ITALY,0
1/1/2019,Europe,ITALY,0
1/1/2020,Europe,ITALY,0
1/1/1954,Asia,JAPAN,0
1/1/1955,Asia,JAPAN,0
1/1/1956,Asia,JAPAN,0
1/1/1957,Asia,JAPAN,0
1/1/1958,Asia,JAPAN,0
1/1/1959,Asia,JAPAN,0
1/1/1960,Asia,JAPAN,0
1/1/1961,Asia,JAPAN,0
1/1/1962,Asia,JAPAN,0
1/1/1963,Asia,JAPAN,1
1/1/1964,Asia,JAPAN,1
1/1/1965,Asia,JAPAN,2
1/1/1966,Asia,JAPAN,2
1/1/1967,Asia,JAPAN,2
1/1/1968,Asia,JAPAN,2
1/1/1969,Asia,JAPAN,3
1/1/1970,Asia,JAPAN,5
1/1/1971,Asia,JAPAN,5
1/1/1972,Asia,JAPAN,6
1/1/1973,Asia,JAPAN,8
1/1/1974,Asia,JAPAN,11
1/1/1975,Asia,JAPAN,13
1/1/1976,Asia,JAPAN,14
1/1/1977,Asia,JAPAN,16
1/1/1978,Asia,JAPAN,21
1/1/1979,Asia,JAPAN,22
1/1/1980,Asia,JAPAN,23
1/1/1981,Asia,JAPAN,25
1/1/1982,Asia,JAPAN,25
1/1/1983,Asia,JAPAN,28
1/1/1984,Asia,JAPAN,31
1/1/1985,Asia,JAPAN,33
1/1/1986,Asia,JAPAN,35
1/1/1987,Asia,JAPAN,36
1/1/1988,Asia,JAPAN,38
1/1/1989,Asia,JAPAN,39
1/1/1990,Asia,JAPAN,41
1/1/1991,Asia,JAPAN,42
1/1/1992,Asia,JAPAN,44
1/1/1993,Asia,JAPAN,48
1/1/1994,Asia,JAPAN,50
1/1/1995,Asia,JAPAN,51
1/1/1996,Asia,JAPAN,54
1/1/1997,Asia,JAPAN,54
1/1/1998,Asia,JAPAN,54
1/1/1999,Asia,JAPAN,53
1/1/2000,Asia,JAPAN,53
1/1/2001,Asia,JAPAN,54
1/1/2002,Asia,JAPAN,54
1/1/2003,Asia,JAPAN,54
1/1/2004,Asia,JAPAN,54
1/1/2005,Asia,JAPAN,56
1/1/2006,Asia,JAPAN,56
1/1/2007,Asia,JAPAN,56
1/1/2008,Asia,JAPAN,56
1/1/2009,Asia,JAPAN,55
1/1/2010,Asia,JAPAN,55
1/1/2011,Asia,JAPAN,55
1/1/2012,Asia,JAPAN,51
1/1/2013,Asia,JAPAN,51
1/1/2014,Asia,JAPAN,49
1/1/2015,Asia,JAPAN,49
1/1/2016,Asia,JAPAN,44
1/1/2017,Asia,JAPAN,43
1/1/2018,Asia,JAPAN,42
1/1/2019,Asia,JAPAN,38
1/1/2020,Asia,JAPAN,33
1/1/1954,Asia,KAZAKHSTAN,0
1/1/1955,Asia,KAZAKHSTAN,0
1/1/1956,Asia,KAZAKHSTAN,0
1/1/1957,Asia,KAZAKHSTAN,0
