Power station,# units[note 1],Net capacity[note 2](MWe),Country,Degrees,Latitude,Longitude
Doel,4,2911,Belgium,51°19′29″N 04°15′31″E﻿ ,51.32472,4.25861
Donald C. Cook,2,2069,United States,41°58′31″N 86°33′57″W﻿ ,41.97528,86.56583
Dresden,2,"1,734[note 10]",United States,41°23′23″N 88°16′5″W﻿ ,41.38972,88.26806
Dukovany,4,2040,Czech Republic,49°05′06″N 16°08′56″E﻿ ,49.085,16.14889
Dungeness,2,"1,040[note 11]",United Kingdom,50°54′50″N 00°57′50″E﻿ ,50.91389,0.96389
Edwin I. Hatch,2,1759,United States,31°56′03″N 82°20′38″W﻿ ,31.93417,82.34389
Fermi,1,"1,122[note 12]",United States,41°57′46″N 83°15′27″W﻿ ,41.96278,83.2575
Emsland,1,1329,Germany,52°28′27″N 07°19′04″E﻿ ,52.47417,7.31778
Fangchenggang,2,"2,000[note 13]",China,21°40′00″N 108°33′47″E﻿ ,21.66667,108.56306
Fangjiashan,2,2000,China,30°26′29″N 120°56′30″E﻿ ,30.44139,120.94167
Flamanville,2,"2,660[note 14]",France,49°32′11″N 01°52′54″W﻿ ,49.53639,1.88167
Forsmark,3,3138,Sweden,60°24′12″N 18°10′00″E﻿ ,60.40333,18.16667
Fuqing,5,"5,000[note 15]",China,25°26′39″N 119°26′46″E﻿ ,25.44417,119.44611
Genkai,2,"2,254[note 16]",Japan,33°30′56″N 129°50′14″E﻿ ,33.51556,129.83722
Goesgen,1,1010,Switzerland,47°21′57″N 07°58′00″E﻿ ,47.36583,7.96667
Golfech,2,2620,France,44°06′24″N 00°50′43″E﻿ ,44.10667,0.84528
Grand Gulf,1,1419,United States,32°0′24″N 91°2′54″W﻿ ,32.00667,91.04833
Gravelines,6,5460,France,51°00′55″N 02°08′10″E﻿ ,51.01528,2.13611
Grohnde,1,1360,Germany,52°02′07″N 09°24′48″E﻿ ,52.03528,9.41333
Gundremmingen,1,"1,288[note 17]",Germany,48°30′53″N 10°24′08″E﻿ ,48.51472,10.40222
Haiyang,1,"1,000[note 18]",China,36°42′33″N 121°22′54″E﻿ ,36.70917,121.38167
Hamaoka,3,"3,473[note 19]",Japan,34°37′25″N 138°08′33″E﻿ ,34.62361,138.1425
Hanbit,6,5875,South Korea,35°24′54″N 126°25′26″E﻿ ,35.415,126.42389
