Country,Reactor Code,Reactor Name,Shut down ,Shutdown reason,Decom. strategy,Current decom.  phase,Current fuel management,Decom. licensee,Licence expiration,,,,,,
UK, GB -15,DOUNREAY PFR, 1994-3,Others, Dd+PD+SE,5,, Magnox N,2333,,,,,,
UK, GB -1A,CALDER HALL-1, 2003-3,"2,8", Dd+PD+SE,8,, SL,2117,,,,,,
UK, GB -1B,CALDER HALL-2, 2003-3,"2,8", Dd+PD+SE,8,, SL,2117,,,,,,
UK, GB -1C,CALDER HALL-3, 2003-3,"2,8", Dd+PD+SE,8,, SL,2117,,,,,,
UK, GB -1D,CALDER HALL-4, 2003-3,"2,8", Dd+PD+SE,8,, SL,2117,,,,,,
UK, GB -2A,CHAPELCROSS-1, 2004-6,"2,8", Dd+PD+SE,8,, Magnox N,2128,,,,,,
UK, GB -2B,CHAPELCROSS-2, 2004-6,"2,8", Dd+PD+SE,8,, Magnox N,2128,,,,,,
UK, GB -2C,CHAPELCROSS-3, 2004-6,"2,8", Dd+PD+SE,8,, Magnox N,2128,,,,,,
UK, GB -2D,CHAPELCROSS-4, 2004-6,"2,8", Dd+PD+SE,8,, Magnox N,2128,,,,,,
UK, GB -3A,BERKELEY-1, 1989-3,"2,8", Dd+SE,8,, Magnox S,2083,,,,,,
UK, GB -3B,BERKELEY-2, 1988-10,"2,8", Dd+SE,8,, Magnox S,2083,,,,,,
UK, GB -4A,BRADWELL-1, 2002-3,"2,8", Dd+SE,8,, Magnox S,2104,,,,,,
UK, GB -4B,BRADWELL-2, 2002-3,"2,8", Dd+SE,8,, Magnox S,2104,,,,,,
UK, GB -5,WINDSCALE AGR, 1981-4,Others, Dd+PD+SE,7,, SL,2065,,,,,,
UK, GB -6A,HUNTERSTON A-1, 1990-3,"2,8", Dd+PD+SE,8,, Magnox N,2090,,,,,,
UK, GB -6B,HUNTERSTON A-2, 1989-12,"2,8", Dd+PD+SE,8,, Magnox N,2090,,,,,,
